Date,Discharge,Snow Water Equivalent (in) Start of Day Values,Precipitation Accumulation (in) Start of Day Values,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in),Snowmelt
346,57.03125,0,20,67,43,51,0,0
347,60.53125,0,20,62,39,47,0.1,0
348,60.39583333,0,20.1,57,37,43,0.1,0
349,66.6875,0,20.2,48,34,40,0.1,0
350,64.25,0,20.3,62,29,40,0,0
351,60.08333333,0,20.3,64,33,44,0,0
352,58.39583333,0,20.3,60,36,45,0,0
353,56.98958333,0,20.3,56,37,44,0.1,0
354,59.67708333,0,20.4,58,39,46,0,0
355,77.15625,0,20.4,48,34,39,0.4,0
356,74.13541667,0,20.8,62,36,44,0.1,0
357,65.54166667,0,20.9,58,33,42,0,0
358,59.36458333,0,20.9,64,40,48,0,0
359,54.69791667,0,20.9,64,37,48,0,0
360,53.08333333,0,20.9,68,37,48,0,0
361,50.84375,0,20.9,65,40,49,0,0
362,49.39583333,0,20.9,70,38,51,0,0
363,48.57291667,0,20.9,71,39,51,0,0
364,48.25,0,20.9,63,39,47,0,0
365,59.38541667,0,20.9,45,32,37,0.7,0
366,79.61458333,0,0,48,31,35,0.3,0
367,76.8125,0,0.3,45,30,36,0,0
368,69.73958333,0,0.3,48,32,40,0.1,0
369,74.75,0,0.4,54,38,44,0,0
370,74.76041667,0,0.4,48,27,38,0.1,0
371,81.79166667,0,0.5,33,26,29,0.3,0
372,81.875,0,0.8,43,23,30,0.1,0
373,81.98958333,0,0.9,47,24,33,0,0
374,82.90625,0,0.9,59,26,38,0,0
375,90.36458333,0,0.9,59,30,41,0,0
376,86.97916667,0,0.9,60,32,41,0,0
377,88.86458333,0,0.9,55,30,41,0,0
378,87.77083333,0,0.9,54,32,42,0,0
379,87.60416667,0,0.9,42,29,33,0.2,0.1
380,96.9625,0.1,1.1,38,26,30,0.1,0
381,92.625,0.1,1.2,36,20,26,0.2,0.1
382,88.66666667,0.2,1.4,29,19,23,0.4,0.3
383,89.33333333,0.5,1.8,36,24,28,0.1,0.2
384,88.72916667,0.7,1.9,38,24,28,0,0
385,83.19791667,0.7,1.9,37,21,29,0,-0.1
386,80.98958333,0.6,1.9,46,23,32,0.1,-0.1
387,80.57291667,0.5,2,49,28,35,0,0
388,83.23958333,0.5,2,50,28,36,0,-0.3
389,83.36458333,0.2,2,47,26,34,0,0.1
390,88.4625,0.3,2,50,25,34,0,0.1
391,102.84375,0.4,2,48,26,34,0,0
392,101.8104167,0.4,2,47,29,37,0,0
393,100.3270833,0.4,2,55,30,39,0,0
394,98.18125,0.4,2,50,28,36,0,0
395,101.20625,0.4,2,37,17,27,0.1,0
396,90.82708333,0.4,2.1,39,16,28,0.1,-0.1
397,99.57916667,0.3,2.2,49,30,38,0,0
398,99.46458333,0.3,2.2,45,32,36,0,0
399,97.25625,0.3,2.2,32,19,24,0.3,0.3
400,95.28541667,0.6,2.5,26,13,18,0,0
401,83.82916667,0.6,2.5,33,12,25,0.1,0
402,95.39166667,0.6,2.6,49,24,34,0,0.1
403,98.48125,0.7,2.6,50,30,37,0,0
404,102.4395833,0.7,2.6,32,21,26,0.4,0.3
405,92.75625,1,3,32,15,23,0,0.1
406,82.96875,1.1,3,45,20,30,0,0
407,92.87083333,1.1,3,50,25,33,0.3,0.2
408,117.0208333,1.3,3.3,33,19,28,0.7,0.7
409,101.1020833,2,4,24,6,16,0.3,0.4
410,76.20625,2.4,4.3,20,-2,6,0,0
411,86.99381614,2.4,4.3,31,0,13,0,0
412,87.10480002,2.4,4.3,30,17,24,0.2,0.3
413,92.80208333,2.7,4.5,17,8,11,0.2,0.2
414,87.26699561,2.9,4.7,23,9,17,0.2,0.1
415,84.81969736,3,4.9,34,17,22,0.1,0.1
416,87.530376,3.1,5,29,12,19,0,0
417,87.63281127,3.1,5,25,14,18,0.2,0.3
418,80.17708333,3.4,5.2,21,5,12,0.1,0.1
419,84.18969298,3.5,5.3,31,4,16,0,0
420,82.76259385,3.5,5.3,29,11,19,0,0
421,82.07804487,3.5,5.3,32,14,23,0.1,0
422,80.41493056,3.5,5.4,23,1,15,0.1,0.2
423,81.20795573,3.7,5.5,8,-3,2,0.1,0
424,79.39134115,3.7,5.6,9,-1,3,0.2,0.1
425,77.096875,3.8,5.8,18,-5,7,0.1,0
